     -49.782       3.555      24.763       1     118
     -29.861       8.890      13.733       2     155
     -15.837       7.445      19.724       3      29
     -13.839      -4.261       3.633       4      69
     -10.945      10.272       2.120       5     153
       8.958      -0.967      -5.788       6     165
      12.177     -11.799       3.411       7      39
      31.252      -4.924     -12.854       8     193
      37.629       8.052     -11.262       9      28
      33.595     -17.300      -1.063      10      50
      44.576      -4.274     -16.653      11      20
